Current(A)	Field(G)
-15.000	-2152.900
-14.850	-2145.000
-14.700	-2127.400
-14.550	-2107.300
-14.400	-2086.700
-14.250	-2065.300
-14.100	-2043.800
-13.950	-2022.200
-13.800	-2001.100
-13.650	-1979.600
-13.500	-1958.000
-13.350	-1936.400
-13.200	-1914.800
-13.050	-1893.600
-12.900	-1871.900
-12.750	-1850.300
-12.600	-1828.500
-12.450	-1807.200
-12.300	-1785.600
-12.150	-1763.800
-12.000	-1742.000
-11.850	-1720.700
-11.700	-1698.900
-11.550	-1677.200
-11.400	-1655.400
-11.250	-1633.500
-11.100	-1612.200
-10.950	-1590.400
-10.800	-1568.500
-10.650	-1546.700
-10.500	-1525.300
-10.350	-1503.400
-10.200	-1481.500
-10.050	-1459.600
-9.900	-1437.800
-9.750	-1416.400
-9.600	-1394.500
-9.450	-1372.600
-9.300	-1350.700
-9.150	-1329.200
-9.000	-1307.300
-8.850	-1285.400
-8.700	-1263.400
-8.550	-1241.400
-8.400	-1220.000
-8.250	-1198.000
-8.100	-1176.100
-7.950	-1154.100
-7.800	-1132.600
-7.650	-1110.700
-7.500	-1088.700
-7.350	-1066.700
-7.200	-1044.700
-7.050	-1023.200
-6.900	-1001.200
-6.750	-979.200
-6.600	-957.100
-6.450	-935.600
-6.300	-913.500
-6.150	-891.600
-6.000	-869.500
-5.850	-847.500
-5.700	-825.500
-5.550	-803.900
-5.400	-781.900
-5.250	-759.800
-5.100	-738.300
-4.950	-716.300
-4.800	-694.300
-4.650	-672.200
-4.500	-650.200
-4.350	-628.600
-4.200	-606.500
-4.050	-584.500
-3.900	-562.500
-3.750	-540.900
-3.600	-518.800
-3.450	-496.700
-3.300	-474.700
-3.150	-453.100
-3.000	-431.100
-2.850	-409.000
-2.700	-387.000
-2.550	-364.900
-2.400	-343.300
-2.250	-321.300
-2.100	-299.200
-1.950	-277.200
-1.800	-255.600
-1.650	-233.600
-1.500	-211.500
-1.350	-189.450
-1.200	-167.420
-1.050	-145.860
-0.900	-123.810
-0.750	-101.770
-0.600	-79.750
-0.450	-58.180
-0.300	-36.140
-0.150	-14.093
0.000	7.954
0.150	29.541
0.300	51.580
0.450	73.590
0.600	95.620
0.750	117.660
0.900	139.200
1.050	161.220
1.200	183.270
1.350	205.280
1.500	226.800
1.650	248.820
1.800	270.840
1.950	292.850
2.100	314.400
2.250	336.400
2.400	358.300
2.550	380.300
2.700	401.800
2.850	423.800
3.000	445.800
3.150	467.700
3.300	489.200
3.450	511.200
3.600	533.200
3.750	555.100
3.900	576.700
4.050	598.600
4.200	620.600
4.350	642.500
4.500	664.000
4.650	686.000
4.800	707.900
4.950	729.900
5.100	751.300
5.250	773.300
5.400	795.300
5.550	817.200
5.700	838.600
5.850	860.600
6.000	882.500
6.150	904.400
6.300	925.900
6.450	947.800
6.600	969.700
6.750	991.600
6.900	1013.100
7.050	1035.000
7.200	1056.900
7.350	1078.800
7.500	1100.200
7.650	1122.100
7.800	1144.000
7.950	1165.900
8.100	1187.300
8.250	1209.200
8.400	1231.100
8.550	1253.000
8.700	1274.400
8.850	1296.300
9.000	1318.100
9.150	1340.000
9.300	1361.400
9.450	1383.300
9.600	1405.100
9.750	1426.900
9.900	1448.300
10.050	1470.200
10.200	1492.000
10.350	1513.800
10.500	1535.200
10.650	1557.000
10.800	1578.900
10.950	1600.700
11.100	1622.000
11.250	1643.800
11.400	1665.600
11.550	1687.300
11.700	1708.700
11.850	1730.500
12.000	1752.200
12.150	1774.000
12.300	1795.300
12.450	1817.100
12.600	1838.800
12.750	1860.500
12.900	1881.800
13.050	1903.600
13.200	1925.300
13.350	1947.000
13.500	1968.200
13.650	1990.000
13.800	2011.700
13.950	2033.300
14.100	2054.600
14.250	2076.300
14.400	2097.900
14.550	2119.600
14.700	2140.800
14.850	2162.400
